Nume Facultate
Electrotehnică,1
Inginerie Electrică și Calculatoare (Lb. engleză),1
Electronică Aplicată,1
Tehnologii și Sisteme de Telecomunicații,1
Calculatoare,1
Automatică și Informatică Aplicată,1
Tehnologia Informației,1
Drept cu Frecvență,9
Drept cu Frecvență Redusă,9
Matematică-Informatică,10
Informatică,10
Informatică Aplicată,10
Informatică Aplicată în Limba Germană,10
Robotică,10
